consumer_id	owner_name	city	today_usage_kwh	week_usage_kwh	month_usage_kwh	solar_generated_today	solar_generated_month	grid_import_kwh	grid_export_kwh	electricity_price	feed_in_tariff	baseline_usage	optimized_usage	solar_capacity_kw	subsidy_amount	bill_due_date
100000	Varun	Vijayawada	12.7	81.83	369.41	2.09	60.66	11.54	0.47	9.93	4.33	434.73	312.96	1.71	19552.0	14-02-2026
100001	Varun	Guntur	22.76	122.23	590.52	11.84	312.04	12.62	0.92	8.82	2.1	590.07	522.09	1.68	16315.0	15-07-2026
100002	Vikram	Nellore	9.03	62.73	229.28	10.11	220.75	0.36	1.99	8.88	3.54	249.28	230.83	3.35	23057.0	09-01-2026
100003	Suresh	Hyderabad	23.14	138.39	593.42	7.45	153.82	17.34	0.82	6.19	4.72	539.5	392.86	3.01	11813.0	21-04-2026
100004	Kiran	Visakhapatnam	16.75	112.34	479.16	8.31	217.43	10.64	1.57	7.34	4.6	551.94	458.83	2.07	21698.0	25-06-2026
100005	Suresh	Tirupati	5.2	26.57	143.98	5.59	122.66	1.83	2.31	6.81	3.78	162.66	131.77	3.23	11179.0	29-07-2026
100006	Arjun	Tirupati	18.75	94.52	503.25	13.53	328.92	5.31	0.3	7.65	2.22	511.74	425.33	4.93	29147.0	28-02-2026
100007	Varun	Tirupati	8.65	50.76	248.3	13.82	282.92	2.3	6.71	7.51	4.57	244.71	228.7	2.78	14146.0	13-09-2026
100008	Suresh	Hyderabad	11.96	63.51	302.29	11.12	222.84	1.14	1.97	7.1	4.99	349.55	311.7	1.3	12167.0	26-05-2026
100009	Suresh	Guntur	22.4	134.99	645.63	9.49	281.85	13.84	1.63	5.4	4.78	707.22	645.32	3.79	10602.0	25-05-2026
100010	Anil	Visakhapatnam	14.83	97.42	430.02	8.76	261.62	7.78	0.14	7.89	2.05	488.39	384.44	1.59	12568.0	10-07-2026
